Failure Type,1,2,6,
SubSystem,MTBF Inherent (hrs),MTBF Induced (hrs),MTBF No Defect (hrs),
1,202.8,113.9,984.7,
2,350.1,873.3,3500.8,
3,433.6,701.1,2838.8,
4,4521.7,2255.8,27107.7,
5,870.9,272.7,2594.8,
6,417.1,189.6,1818.3,
7,824.0,802.4,4849.3,
8,115013.8,38344.6,410737.9,
9,168.4,124.1,969.3,
10,81.6,230.6,330.1,
11,227.4,497.8,2158.0,
12,111.9,178.1,893.3,
13,345.9,1161.2,1773.3,
14,438.7,996.9,4279.4,
15,343.9,150.8,566.6,
16,997.6,1103.4,1936.6,
17,1005.6,1063.9,8576.0,
18,717.0,903.0,5647.2,
19,716.4,243.4,1391.0,
20,462.0,NA,NA,
21,1489.3,433679.9,953130.5,
22,1402.6,58669.4,93120.2,
23,2158.0,NA,NA,
24,1024.2,NA,NA,
25,2029.2,16439.1,56662.1,
26,569.1,NA,NA,
27,33878.9,NA,NA,
28,4426.8,4076.7,30279.6,
29,1132.6,20464.9,38123.3,
,,,,
beta =,0.10,,,
,,,,
